Rank,Name,Canvas,CanvasWeight,Chaqueta,ChaquetaWeight,Craneo,CraneoWeight,Polvo,PolvoWeight,Rociada,RociadaWeight,TraitCount,Weighting
41,ElMatador0222,Lisbon,63.9871795,Toscoe,71.3,Bula,415.9166667,Laluz,34.4206897,Bagunca,60.1325301,5,646.8674108000001
42,ElMatador1174,LaUnion,74.4925373,Acuti,68.369863,Bula,415.9166667,Besuntado,39.6111111,Barafunda,47.0849057,5,646.5854286
43,ElMatador4900,Cuenca,178.25,Relevo,110.9111111,Chefe,217,Marcas,38.0992366,Siccus,99.82,5,645.1906925
44,ElMatador0212,Belem,77.984375,Moda,74.4925373,Bula,415.9166667,Brilho,35.9064748,None,24.1111111,4,638.7444982000001
45,ElMatador4574,Burgos,124.775,Indole,151.2424242,Chefe,217,Vestigio,56.7159091,Furvidus,87.5614035,5,638.4050816
46,ElMatador1222,Coimbra,64.8181818,Guapo,67.4459459,Bula,415.9166667,Cicatriz,36.9703704,Trapalhada,50.4141414,5,636.6756509999999
47,ElMatador3627,Cartagena,121.7317073,Esperto,151.2424242,Aborto,217,Cicatriz,36.9703704,Caos,103.9791667,5,632.0340133999999
48,ElMatador2819,Cuenca,178.25,Esfolar,124.775,Mosca,249.55,Porcada,31.5886076,Tumulto,43.0258621,5,628.2998145000001
49,ElMatador3251,Tajer,161,Couro,108.5,Estafadora,207.9583333,Felpar,70.2957746,Anguista,77.984375,5,626.8488277
50,ElMatador3913,Choloma,87.5614035,Fulgor,101.8571429,Trapacista,332.7333333,Po,36.9703704,Sucio,65.6710526,5,625.9036474999999
51,ElMatador3789,Pamplona,199.64,Esfolar,124.775,Condutor,199.64,Brilho,35.9064748,caotica,63.9871795,5,625.0589990999999
52,ElMatador4802,Zaragoza,113.4318182,Claro,131.3421053,Trapala,249.55,Cabelo,54.8461538,Enojo,74.4925373,5,624.7729594
53,ElMatador3721,Valencia,166.3666667,Couro,108.5,Chefe,217,Cotao,68.369863,Molesta,58.0348837,5,619.3817582
54,ElMatador4295,Oviedo,161,Replica,127.974359,Timador,249.55,Brillo,33.4966443,Sujar,46.212963,5,619.3443111
55,ElMatador4589,Coban,108.5,Destro,142.6,Glutona,237.6666667,Seixos,65.6710526,Atufo,62.3875,5,617.9355641000001
56,ElMatador2654,Tajer,161,Hermosa,63.9871795,Timador,249.55,Cubrir,33.952381,Caos,103.9791667,5,613.579072
57,ElMatador2317,Cuenca,178.25,Incultor,66.5466667,Mosca,249.55,Felpar,70.2957746,Sujar,46.212963,5,611.9657490999999
58,ElMatador1720,Bilbao,151.2424242,Falso,131.3421053,Siniestro,161,Pedras,65.6710526,Siccus,99.82,5,610.1859269
59,ElMatador2165,Palma,199.64,Instavel,151.2424242,Leal,124.775,Seixas,63.9871795,Nunitus,68.369863,5,609.1248115
60,ElMatador4808,Sechura,138.6388889,Esfolar,124.775,Glutona,237.6666667,Sujo,46.212963,Desgracia,58.7176471,5,607.1215105
61,ElMatador2425,Jerez,155.96875,Polido,106.1914894,Gula,191.9615385,Furia,47.0849057,Caos,103.9791667,5,606.2961951
62,ElMatador3825,Gijon,191.9615385,Destro,142.6,Omal,146.7941176,Atarantar,64.8181818,Caotico,58.7176471,5,606.0018298
63,ElMatador2026,Gijon,191.9615385,Famosio,131.3421053,Comandante,184.8518519,Sujo,46.212963,Limpiar,50.4141414,5,605.8929449
64,ElMatador3619,Juliaca,124.775,Odre,142.6,Glutona,237.6666667,Po,36.9703704,Dolor,62.3875,5,605.5098819000001
65,ElMatador3882,Valencia,166.3666667,Casaco,69.3194444,Timador,249.55,Sujo,46.212963,Apenar,72.3333333,5,604.8927522
66,ElMatador4385,Oviedo,161,Claro,131.3421053,Negrito,199.64,Imunda,41.2479339,Embargo,70.2957746,5,604.6361585999999
67,ElMatador4458,Oviedo,161,Toscoe,71.3,Timador,249.55,Sujo,46.212963,Linny,74.4925373,5,603.6658451000001
68,ElMatador4835,Gijon,191.9615385,Reluzir,138.6388889,Tenaz,113.4318182,Litiase,58.0348837,Siccus,99.82,5,602.9974741
69,ElMatador2742,Juliaca,124.775,Lampejo,118.8333333,Mosca,249.55,Manchar,43.0258621,Pena,64.8181818,5,602.1127220000001
70,ElMatador3276,Pamplona,199.64,Crosto,106.1914894,Comandante,184.8518519,Porcada,31.5886076,Anguista,77.984375,5,601.3666687000001
71,ElMatador2770,Natal,94.1698113,Famosio,131.3421053,Colosso,249.55,Vestigio,56.7159091,Nunitus,68.369863,5,601.2580335
72,ElMatador4820,Belmopan,110.9111111,Falso,131.3421053,Colosso,249.55,Pedras,65.6710526,Mugre,42.2966102,5,600.8812240000001
73,ElMatador4674,Murcia,131.3421053,Indole,151.2424242,Gluton,199.64,Vil,43.0258621,Linny,74.4925373,5,600.8532736999999
74,ElMatador3491,Palma,199.64,Flamejar,118.8333333,Gluton,199.64,Tizne,31.9935897,Senal,47.9903846,5,599.2076524
75,ElMatador4267,Coimbra,64.8181818,Incerto,121.7317073,Trapacista,332.7333333,Porco,43.7807018,None,24.1111111,4,597.5083686
76,ElMatador4953,Pamplona,199.64,Esperto,151.2424242,Obito,131.3421053,Pedras,65.6710526,Basura,47.9903846,5,596.9963114999999
77,ElMatador4214,Callao,151.2424242,Indole,151.2424242,Negrito,199.64,Brilho,35.9064748,Trastormo,56.0786517,5,595.2203197
78,ElMatador4291,Gijon,191.9615385,Falso,131.3421053,Flutuar,166.3666667,Obsceno,44.1681416,Caotico,58.7176471,5,593.666444
79,ElMatador3074,Managua,113.4318182,Esperto,151.2424242,Cabeca,226.8636364,Imundo,42.6581197,Molesta,58.0348837,5,593.341227
80,ElMatador4603,Acajutla,73.3970588,Pelucia,89.125,Trapacista,332.7333333,Laluz,34.4206897,Dolor,62.3875,5,593.1739266000001
81,ElMatador4020,Patzicia,118.8333333,Desejo,92.4259259,Colosso,249.55,Felpar,70.2957746,Dejado,60.8658537,5,593.0812323
82,ElMatador4448,Burgos,124.775,Fulgor,101.8571429,Timador,249.55,Cocar,33.4966443,Calidus,81.8196721,5,592.6088041
83,ElMatador2836,Zaragoza,113.4318182,Traje,70.2957746,Trapala,249.55,Sombra,58.0348837,Siccus,99.82,5,592.2428213
84,ElMatador4033,Valencia,166.3666667,Pelerine,72.3333333,Colosso,249.55,Vestigio,56.7159091,Porcaria,45.3727273,5,591.4489811999999
85,ElMatador4338,Mixco,113.4318182,Odre,142.6,Mosca,249.55,Porco,43.7807018,Sujeria,40.5772358,5,591.0501006000001
86,ElMatador3232,Palma,199.64,Reluzir,138.6388889,Asas,146.7941176,Litiase,58.0348837,Balburdia,46.6448598,5,590.8630947999999
87,ElMatador4502,Segovia,124.775,Liso,131.3421053,Trapala,249.55,Luz,37.2462687,Balburdia,46.6448598,5,590.6685785999999
88,ElMatador4988,Murcia,131.3421053,Reluzir,138.6388889,Glutona,237.6666667,Besuntado,39.6111111,Sujeria,40.5772358,5,588.9463526000001
89,ElMatador4056,Antigua,72.3333333,Lajuso,66.5466667,Trapacista,332.7333333,Vestigio,56.7159091,Caotico,58.7176471,5,588.1572343
90,ElMatador3020,Cantel,110.9111111,Capa,89.125,Timador,249.55,Seixas,63.9871795,Picon,73.3970588,5,588.0806942
91,ElMatador3568,Salvador,79.2222222,Incultor,66.5466667,Trapacista,332.7333333,Defeito,35.9064748,Revas,72.3333333,5,587.8523751
92,ElMatador3244,Cumbres,121.7317073,Clarao,172.1034483,Voar,172.1034483,Seixas,63.9871795,Trastormo,56.0786517,5,587.1147799
93,ElMatador4651,Segovia,124.775,Merito,166.3666667,Moribundo,199.64,Po,36.9703704,Molesta,58.0348837,5,586.8972656
94,ElMatador4434,Palma,199.64,Instavel,151.2424242,Asas,146.7941176,Furia,47.0849057,Cunfusao,40.9098361,5,586.7816283999999
95,ElMatador4914,Chincha,124.775,Liso,131.3421053,Timador,249.55,Tizne,31.9935897,Senal,47.9903846,5,586.7614244
96,ElMatador4465,Choloma,87.5614035,Lustroso,131.3421053,Mosca,249.55,Obsceno,44.1681416,Revas,72.3333333,5,586.0653285000001
97,ElMatador3514,Gijon,191.9615385,Macio,146.7941176,Pavaroso,110.9111111,Vestigio,56.7159091,Anguista,77.984375,5,585.4773961
98,ElMatador2413,Oviedo,161,Merito,166.3666667,Rebelde,178.25,Brilho,35.9064748,Mugre,42.2966102,5,584.9300965
99,ElMatador3688,Belmopan,110.9111111,Indole,151.2424242,Aborto,217,Obsceno,44.1681416,Bagunca,60.1325301,5,584.5645518
100,ElMatador4416,Juarez,95.9807692,Reluzente,161,Timador,249.55,Cubrir,33.952381,Mugre,42.2966102,5,583.8901052
101,ElMatador3943,Coruna,134.8918919,Indole,151.2424242,Gula,191.9615385,Porcada,31.5886076,Revas,72.3333333,5,583.1281402999999
102,ElMatador2458,Bilbao,151.2424242,Liso,131.3421053,Chefe,217,Brilho,35.9064748,Sujar,46.212963,5,582.8143120999999
103,ElMatador1992,Pamplona,199.64,Acredo,67.4459459,Comandante,184.8518519,Grava,31.7898089,Luteus,97.8627451,5,582.7006966
104,ElMatador4256,Tarronga,184.8518519,Bravo,69.3194444,Trapala,249.55,Tizne,31.9935897,Porcaria,45.3727273,5,582.1979580999999
105,ElMatador1887,Gijon,191.9615385,Engraxado,127.974359,Obito,131.3421053,Cotao,68.369863,Picazon,60.8658537,5,581.6240643
106,ElMatador4788,Coban,108.5,Merito,166.3666667,Estafadora,207.9583333,Laluz,34.4206897,Dolor,62.3875,5,580.7435345
107,ElMatador2737,Cadiz,127.974359,Destro,142.6,Moribundo,199.64,Raspar,34.6597222,Grima,73.3970588,5,579.3814848
108,ElMatador3653,Tecia,69.3194444,Esperto,151.2424242,Timador,249.55,Obsceno,44.1681416,caotica,63.9871795,5,579.3775345
109,ElMatador3865,Soyapango,118.8333333,Fornido,63.1772152,Colosso,249.55,Sombra,58.0348837,Furvidus,87.5614035,5,578.2671805
110,ElMatador3142,Mixco,113.4318182,Agudo,89.125,Colosso,249.55,Vil,43.0258621,Calidus,81.8196721,5,578.0626972
111,ElMatador3541,Usuutan,74.4925373,Encerado,138.6388889,Timador,249.55,Brillo,33.4966443,Mania,80.5,5,577.7884153000001
112,ElMatador4972,Valencia,166.3666667,Titulo,63.1772152,Colosso,249.55,Defeito,35.9064748,Espeso,61.617284,5,577.7279855
113,ElMatador1884,Palma,199.64,Couro,108.5,Morte,151.2424242,Manchar,43.0258621,Picon,73.3970588,5,576.9156899
114,ElMatador4219,Palma,199.64,Medida,118.8333333,Valioso,124.775,Atarantar,64.8181818,Peligro,67.4459459,5,576.6228058
115,ElMatador3203,Bilbao,151.2424242,Indole,151.2424242,Perrito,118.8333333,Esfiapar,75.6212121,Anguista,77.984375,5,576.0341136
116,ElMatador1308,Coban,108.5,Capa,89.125,Jugar,293.5882353,Manchar,43.0258621,Sujeria,40.5772358,5,575.926678
117,ElMatador3268,Pamplona,199.64,Valioso,66.5466667,Voar,172.1034483,Esfiapar,75.6212121,Picazon,60.8658537,5,575.8875256
118,ElMatador3315,Sechura,138.6388889,Salsus,77.984375,Trapala,249.55,Grava,31.7898089,Volcar,76.7846154,5,575.8580330000001
119,ElMatador4800,Alicante,146.7941176,Hermosa,63.9871795,Glutona,237.6666667,Pedras,65.6710526,Bagunca,60.1325301,5,575.3618912999999
120,ElMatador2357,Corodoba,134.8918919,Instavel,151.2424242,Severa,131.3421053,Esfiapar,75.6212121,Mania,80.5,5,574.7079782999999
121,ElMatador4950,Monsaraz,70.2957746,Clarao,172.1034483,Trapala,249.55,Luz,37.2462687,Estragar,43.4,5,573.7058364
122,ElMatador4304,Cartagena,121.7317073,Fornido,63.1772152,Colosso,249.55,Seixos,65.6710526,Apenar,72.3333333,5,573.5736532
123,ElMatador4648,Horizante,110.9111111,Couro,108.5,Colosso,249.55,Brilho,35.9064748,Peligro,67.4459459,5,573.4238766000001
124,ElMatador3899,Palma,199.64,Macio,146.7941176,Ferozo,99.82,Obsceno,44.1681416,Calidus,81.8196721,5,573.3522761
125,ElMatador4936,Natal,94.1698113,Instavel,151.2424242,Aborto,217,Imunda,41.2479339,Nunitus,68.369863,5,573.1403772
126,ElMatador4887,Belmopan,110.9111111,Chama,121.7317073,Mosca,249.55,Grava,31.7898089,Boga,58.0348837,5,573.1278558
127,ElMatador4665,Mixco,113.4318182,Odre,142.6,Negrito,199.64,Cascalho,53.0957447,Alterarse,63.1772152,5,573.0551229
128,ElMatador4227,Beja,68.369863,Acer,68.369863,Trapacista,332.7333333,Sujo,46.212963,Trastormo,56.0786517,5,572.8750188000001
129,ElMatador2083,Curibita,116.0697674,Medida,118.8333333,Mosca,249.55,Raspar,34.6597222,Lodo,51.9895833,5,572.2127510000001
130,ElMatador4442,Corodoba,134.8918919,Polido,106.1914894,Mosca,249.55,Aranar,31.3899371,Doenca,48.4563107,5,571.5899739
131,ElMatador1755,Piura,97.8627451,Polido,106.1914894,Cabeca,226.8636364,Besuntado,39.6111111,Tepidus,99.82,5,571.4593268
132,ElMatador3923,Oviedo,161,Clarao,172.1034483,Curioso,124.775,Laluz,34.4206897,Anguista,77.984375,5,571.3938578
133,ElMatador2923,Oviedo,161,Quente,56.0786517,Colosso,249.55,Vestigio,56.7159091,Balburdia,46.6448598,5,571.0997653999999
134,ElMatador2984,Celba,103.9791667,Replica,127.974359,Negrito,199.64,Atarantar,64.8181818,Rabiar,73.3970588,5,570.9191111
135,ElMatador3806,Flores,127.974359,Chama,121.7317073,Estafadora,207.9583333,Imundo,42.6581197,Peturbar,69.3194444,5,570.7523085
136,ElMatador3620,Corodoba,134.8918919,Liso,131.3421053,Cabeca,226.8636364,None,16.5264901,Limpiar,50.4141414,4,570.3715984
137,ElMatador3257,Cuenca,178.25,Couro,108.5,Morte,151.2424242,Vestigio,56.7159091,Linny,74.4925373,5,570.3112153999999
138,ElMatador3771,Juarez,95.9807692,Tunica,121.7317073,Chefe,217,Raspar,34.6597222,Tepidus,99.82,5,570.3025435
139,ElMatador4859,Nazca,121.7317073,Liso,131.3421053,Gluton,199.64,Cabelo,54.8461538,Espeso,61.617284,5,570.2875952
140,ElMatador2701,Jaen,118.8333333,Fuerte,67.4459459,Timador,249.55,Sombra,58.0348837,Lentum,74.4925373,5,569.4670450000001
141,ElMatador4881,Zaragoza,113.4318182,Clarao,172.1034483,Rebelde,178.25,Sebento,40.25,caotica,63.9871795,5,569.1327908
142,ElMatador1770,Tajer,161,Agudo,89.125,Moribundo,199.64,Defeito,35.9064748,Calidus,81.8196721,5,568.6014917
143,ElMatador4319,Pamplona,199.64,Lustroso,131.3421053,Severa,131.3421053,Vil,43.0258621,Espeso,61.617284,5,568.0777014999999
144,ElMatador4851,Gijon,191.9615385,Encerado,138.6388889,Cisao,151.2424242,Raspar,34.6597222,Trapalhada,50.4141414,5,568.02706
145,ElMatador3553,Jerez,155.96875,Engraxado,127.974359,Morte,151.2424242,Aranar,31.3899371,Tepidus,99.82,5,567.5058151
146,ElMatador1686,Alicante,146.7941176,Macio,146.7941176,Maldoso,142.6,Vestigio,56.7159091,Grima,73.3970588,5,567.4115479
147,ElMatador1482,Juliaca,124.775,Casaco,69.3194444,Jugar,293.5882353,Porcada,31.5886076,Balburdia,46.6448598,5,567.0264919
148,ElMatador4718,Cusco,89.125,Merito,166.3666667,Furioso,134.8918919,Esfiapar,75.6212121,Siccus,99.82,5,566.9351155
149,ElMatador4180,Juarez,95.9807692,Lustroso,131.3421053,Glutona,237.6666667,None,16.5264901,Linny,74.4925373,4,566.3419019
150,ElMatador2878,Abacay,92.4259259,Chama,121.7317073,Trapala,249.55,Litiase,58.0348837,Estragar,43.4,5,566.2528617
151,ElMatador3471,Tingo,99.82,Tunica,121.7317073,Aborto,217,Litiase,58.0348837,Nunitus,68.369863,5,566.0667988
152,ElMatador4168,Alicante,146.7941176,Flamejar,118.8333333,Rebelde,178.25,Esfiapar,75.6212121,Porcaria,45.3727273,5,565.9817350999999
153,ElMatador2038,Mixco,113.4318182,Indole,151.2424242,Moribundo,199.64,Defeito,35.9064748,caotica,63.9871795,5,565.3182415
154,ElMatador3636,Soyapango,118.8333333,Tunica,121.7317073,Timador,249.55,Porcada,31.5886076,Mugre,42.2966102,5,565.1106032000001
155,ElMatador3616,Cuenca,178.25,Traje,70.2957746,Colosso,249.55,Porcada,31.5886076,None,24.1111111,4,564.1288266000001
156,ElMatador4768,Ronda,134.8918919,Acredo,67.4459459,Colosso,249.55,Imunda,41.2479339,Peturbar,69.3194444,5,563.5655609
157,ElMatador2691,Coruna,134.8918919,Reluzir,138.6388889,Gula,191.9615385,Brilho,35.9064748,Dejado,60.8658537,5,563.3749925999999
158,ElMatador1375,Tocumen,103.9791667,Lugos,65.6710526,Jugar,293.5882353,Sebento,40.25,Caotico,58.7176471,5,563.3164465
159,ElMatador4403,Flores,127.974359,Reluzente,161,Flutuar,166.3666667,Tizne,31.9935897,Linny,74.4925373,5,562.9374975
160,ElMatador3176,Cusco,89.125,Reluzente,161,Aborto,217,Obsceno,44.1681416,Trapalhada,50.4141414,5,562.8176278
161,ElMatador4137,Tarronga,184.8518519,Destro,142.6,Perverso,118.8333333,Manchar,43.0258621,Apenar,72.3333333,5,562.7547254
162,ElMatador1111,Coban,108.5,Rasgado,76.7846154,Jugar,293.5882353,Infecto,40.25,Mugre,42.2966102,5,562.5298057000001
163,ElMatador4474,Cuenca,178.25,Merito,166.3666667,Fuerto,97.8627451,Ardor,38.0992366,Mania,80.5,5,562.1889932
164,ElMatador3911,Vincinte,71.3,Encerado,138.6388889,Mosca,249.55,Ardor,38.0992366,Alterarse,63.1772152,5,561.8756855
165,ElMatador4425,Soyapango,118.8333333,Desejo,92.4259259,Trapala,249.55,Vestigio,56.7159091,Tumulto,43.0258621,5,561.6613752000001
166,ElMatador2371,Curibita,116.0697674,Clarao,172.1034483,Corajoso,146.7941176,Cotao,68.369863,Vuelco,56.7159091,5,561.1634502
167,ElMatador3560,Piura,97.8627451,Crosto,106.1914894,Estafadora,207.9583333,Esfiapar,75.6212121,Revas,72.3333333,5,561.077458
168,ElMatador3523,Ronda,134.8918919,Lustroso,131.3421053,Voar,172.1034483,Atarantar,64.8181818,Vuelco,56.7159091,5,560.9818812
169,ElMatador4394,Horizante,110.9111111,Chama,121.7317073,Gluton,199.64,Seixas,63.9871795,Alterarse,63.1772152,5,560.5575579
170,ElMatador2787,Soyapango,118.8333333,Relevo,110.9111111,Fraude,184.8518519,Felpar,70.2957746,Linny,74.4925373,5,560.4949530000001
171,ElMatador3233,Coruna,134.8918919,Acer,68.369863,Colosso,249.55,Seixas,63.9871795,Mugre,42.2966102,5,560.2058894
172,ElMatador1899,Ronda,134.8918919,Claro,131.3421053,Voar,172.1034483,Furia,47.0849057,Rabiar,73.3970588,5,559.9297548
173,ElMatador4467,Mixco,113.4318182,Medida,118.8333333,Glutona,237.6666667,Imundo,42.6581197,Sujar,46.212963,5,559.9132457
174,ElMatador3930,Murcia,131.3421053,Perifido,131.3421053,Moribundo,199.64,Luz,37.2462687,Desgracia,58.7176471,5,559.3984712
175,ElMatador4017,Gijon,191.9615385,Acredo,67.4459459,Condutor,199.64,Ardor,38.0992366,Picazon,60.8658537,5,559.1229195
176,ElMatador2794,Limon,113.4318182,Merito,166.3666667,Corajoso,146.7941176,Cotao,68.369863,Dolor,62.3875,5,558.4603103000001
177,ElMatador2705,Horizante,110.9111111,Quente,56.0786517,Trapala,249.55,Cascalho,53.0957447,Furvidus,87.5614035,5,558.3072558
178,ElMatador3490,Tarronga,184.8518519,Encerado,138.6388889,Poderio,127.974359,Sombra,58.0348837,Barafunda,47.0849057,5,557.695234
179,ElMatador4238,Coruna,134.8918919,Ameno,68.369863,Trapala,249.55,None,16.5264901,Anguista,77.984375,4,557.6559533
180,ElMatador0834,Mixco,113.4318182,Traje,70.2957746,Jugar,293.5882353,Marcas,38.0992366,Cunfusao,40.9098361,5,557.4352456
181,ElMatador4166,Callao,151.2424242,Fuerte,67.4459459,Aborto,217,Furia,47.0849057,Grima,73.3970588,5,557.2806793999999
182,ElMatador1958,Celba,103.9791667,Reluzente,161,Enganadora,184.8518519,Grava,31.7898089,Enojo,74.4925373,5,557.2237096
183,ElMatador3199,Cantel,110.9111111,Flamejar,118.8333333,Cabeca,226.8636364,Vestigio,56.7159091,Mugre,42.2966102,5,556.7309449
184,ElMatador2167,Palma,199.64,Engraxado,127.974359,Mentorosa,138.6388889,Sujo,46.212963,Tumulto,43.0258621,5,556.6024178000001
185,ElMatador1481,Ana,86.0517241,Hermosa,63.9871795,Jugar,293.5882353,Cisco,38.3923077,Grima,73.3970588,5,556.5268502
186,ElMatador4841,Pamplona,199.64,Destro,142.6,Dingo,92.4259259,Felpar,70.2957746,Trapalhada,50.4141414,5,556.4861867
187,ElMatador3606,LaUnion,74.4925373,Merito,166.3666667,Gula,191.9615385,Seixos,65.6710526,Vuelco,56.7159091,5,556.318049
188,ElMatador4684,Pisco,94.1698113,Perifido,131.3421053,Aborto,217,Marcas,38.0992366,Linny,74.4925373,5,556.2140353
189,ElMatador3152,Coruna,134.8918919,Rasgada,116.0697674,Voar,172.1034483,Esfiapar,75.6212121,Trastormo,56.0786517,5,555.8753162
190,ElMatador3692,Sechura,138.6388889,Engraxado,127.974359,Ciervo,121.7317073,Cotao,68.369863,Luteus,97.8627451,5,555.6879081000001
191,ElMatador4662,Managua,113.4318182,Macio,146.7941176,Maldoso,142.6,Seixas,63.9871795,Furvidus,87.5614035,5,555.4848636
192,ElMatador4847,Medillian,97.8627451,Destro,142.6,Gluton,199.64,Litiase,58.0348837,Trastormo,56.0786517,5,555.3266253
193,ElMatador2813,Flores,127.974359,Esfolar,124.775,Narrador,146.7941176,Cabelo,54.8461538,Tepidus,99.82,5,555.3199752
194,ElMatador3884,Donostia,131.3421053,Blusa,70.2957746,Glutona,237.6666667,Imunda,41.2479339,Grima,73.3970588,5,555.0598841
195,ElMatador3107,Petapa,103.9791667,Replica,127.974359,Timador,249.55,None,16.5264901,Balburdia,46.6448598,4,555.0082089
196,ElMatador4041,Puebla,118.8333333,Esfolar,124.775,Chefe,217,Laluz,34.4206897,Caotico,58.7176471,5,554.8570149000001
197,ElMatador2582,Celba,103.9791667,Falso,131.3421053,Condutor,199.64,Vestigio,56.7159091,Espeso,61.617284,5,554.4048098999999
