Rank,Name,Background,BackgroundWeight,Body,BodyWeight,Ear,EarWeight,Eye,EyeWeight,Eyes,EyesWeight,Head,HeadWeight,Mouth,MouthWeight,Skin,SkinWeight,TraitCount,Weighting
15,Pendulum #03028,Cozmo Aqua,29.6390533,War Pink,217.7826087,War Pink,192.6538462,White,9.1072727,War Pink,208.7083333,War Pink,455.3636364,,1001.8,Burst Glitch,37.1037037,8,2157.6327712
16,Pendulum #03362,Cozmo Yellow,28.6228571,Bandit Green,143.1142857,Derp Teal,238.5238095,Purple,10.0784708,Layser Glitch,200.36,Wizard Purple,834.8333333,Seal Breaker Yellow,556.5555556,Highborn Red,86.362069,8,2103.9246978999995
17,Pendulum #04282,Green,17.3321799,Plugged Brown,217.7826087,War Purple,208.7083333,Yellow,14.4768786,Lightning Blue,455.3636364,Assassin Green,626.125,Plugged Brown,417.4166667,Feather Brown,116.4883721,8,2079.1679925999997
18,Pendulum #03995,Cozmo Green,23.7393365,War Purple,238.5238095,War Purple,208.7083333,Pink,10.4790795,War Purple,238.5238095,War Purple,294.6470588,,1001.8,Burst,56.9204545,8,2078.8161984999997
19,Pendulum #02555,Gradient Forrest,37.1037037,Monk Glitch,200.36,Assassin Orange,111.3111111,Pink,10.4790795,Lightning Blue,455.3636364,Assassin Orange,1001.8,Vape Green,208.7083333,Skeleton Glitch,46.3796296,8,2076.9798105
20,Pendulum #03834,Cozmo Aqua,29.6390533,Prism Pink,385.3076923,Angel Green,143.1142857,Black,5.0698381,Neon Visor Purple,208.7083333,Spider Red,834.8333333,Vape Glitch,333.9333333,Oracle Cream,91.0727273,8,2037.1529135
21,Pendulum #00395,Orange,25.1708543,Sorceress Gray,556.5555556,Vega Green,263.6315789,Teal,18.9734848,Neon Visor Red,238.5238095,Recon Glitch,278.2777778,Smoke Orange,556.5555556,Burst,56.9204545,8,2000.0833879000002
22,Pendulum #03577,Cozmo Forrest,30.5426829,Spider Pink,238.5238095,Roger Teal,263.6315789,Orange,7.0549296,Lightning Pink,333.9333333,Mirror Blue,417.4166667,Gun Chin Glitch,500.9,Oracle White,166.9666667,8,1964.4439845000002
23,Pendulum #02066,Cozmo White,37.380597,Assassin Pink,147.3235294,Assassin Yellow,166.9666667,Black,5.0698381,Zodiac Orange,294.6470588,Assassin Orange,1001.8,Spider Green,263.6315789,Blue,40.3951613,8,1962.6887471
24,Pendulum #02754,Cozmo Teal,32.1089744,Phoenix Green,834.8333333,Sacred Ring Orange,185.5185185,Purple,10.0784708,Neon Visor Purple,208.7083333,,2.4699211,Smoke Orange,556.5555556,Skeleton Blue,125.225,7,1960.5782287
25,Pendulum #02279,Gradient Forrest,37.1037037,Plugged Green,156.53125,Trinity Yellow,278.2777778,Orange,7.0549296,Lightning Blue,455.3636364,Assassin Pink,715.5714286,Vape Green,208.7083333,Pink,92.7592593,8,1956.8446356000002
26,Pendulum #03331,Gradient Forrest,37.1037037,Spider Pink,238.5238095,Vega Glitch,178.8928571,Blue,13.2513228,Zodiac Glitch,263.6315789,Spider Red,834.8333333,Recon Purple,278.2777778,Oracle Knower,104.3541667,8,1954.3428667
27,Pendulum #03074,Teal,35.5248227,Assassin Teal,147.3235294,Vega Blue,238.5238095,Yellow,14.4768786,Zodiac Green,278.2777778,Spider Red,834.8333333,Aqua Mask Green,294.6470588,Oracle Black,94.509434,8,1943.5909610000003
28,Pendulum #03365,Gradient Sunset,32.9539474,Monk Green,500.9,Assassin Orange,111.3111111,Blue,13.2513228,Neon Visor Green,278.2777778,Prism Blue,626.125,Holo Drape Glitch,217.7826087,Feather Seer,156.53125,8,1942.6073347000001
29,Pendulum #02277,Cozmo Teal,32.1089744,,2.33411,Vega Red,417.4166667,Green,9.7641326,,2.1778261,Moon Sherpa Glitch,715.5714286,Smoke Orange,556.5555556,Oracle Seer,200.36,6,1941.0230985000003
30,Pendulum #01682,Yellow,29.2923977,Prism Pink,385.3076923,Sorceress Pink,172.7241379,Blue,13.2513228,War Blue,417.4166667,Sorceress Yellow,417.4166667,Recon Brown,333.9333333,Oracle Brown,151.7878788,8,1926.6044131
31,Pendulum #03335,Cozmo Forrest,30.5426829,Phoenix Purple,192.6538462,Sacred Ring Green,131.8157895,Black,5.0698381,Lazer Eye Yellow,278.2777778,War Green,715.5714286,Plugged Orange,385.3076923,Skeleton Bronze,151.7878788,8,1896.5012511
32,Pendulum #02672,Cozmo Pink,42.4491525,Monk Green,500.9,Roger Purple,227.6818182,Purple,10.0784708,Neon Visor Red,238.5238095,Spider Glitch,417.4166667,Vape Yellow,294.6470588,Skeleton Bronze,151.7878788,8,1888.9591722
33,Pendulum #01715,Cozmo Teal,32.1089744,Monk Purple,357.7857143,Angel Yellow,108.8913043,Green,9.7641326,Recon Blue,385.3076923,Assassin Teal,626.125,Vape Pink,208.7083333,Skeleton Blue,125.225,8,1859.3904681000001
34,Pendulum #03115,Pink,22.8721461,Prism Purple,238.5238095,Angel Green,143.1142857,Yellow,14.4768786,Third Eye Pink,357.7857143,Sorceress Pink,556.5555556,Holo Drape Yellow,417.4166667,Skeleton Death,102.2244898,8,1858.4438632
35,Pendulum #01121,White,41.057377,Monk Green,500.9,Trinity Yellow,278.2777778,Teal,18.9734848,Recon Brown,417.4166667,Opulence Orange,217.7826087,Assassin Teal,250.45,Feather Burst,119.2619048,8,1849.5941367
36,Pendulum #03928,Cozmo Purple,42.4491525,Knight Brown,156.53125,Vega Yellow,313.0625,Orange,7.0549296,Plugged Brown,455.3636364,Recon Glitch,278.2777778,Gun Chin Glitch,500.9,Oracle Glitch,80.7903226,8,1839.9038858000004
37,Pendulum #00238,Red,17.0955631,Spider Pink,238.5238095,Angel Purple,84.8983051,Black,5.0698381,War Blue,417.4166667,Spider Red,834.8333333,Bubble Yellow,151.7878788,Oracle Glitch,80.7903226,8,1835.8900341000003
38,Pendulum #01911,Cozmo Blue,28.4602273,Plugged Brown,217.7826087,Sacred Ring Orange,185.5185185,Orange,7.0549296,Recon Brown,417.4166667,Spider Green,556.5555556,Aqua Mask Green,294.6470588,Skeleton Purple,122.1707317,8,1835.0806138000003
39,Pendulum #01962,Cozmo Sunset,41.3966942,Sorceress Pink,385.3076923,Angel Pink,147.3235294,Green,9.7641326,Third Eye Purple,263.6315789,Prism Blue,626.125,Plugged Green,313.0625,Blue,40.3951613,8,1832.4806056
40,Pendulum #03261,Gradient Forrest,37.1037037,Phoenix Green,834.8333333,Roger Pink,333.9333333,Orange,7.0549296,Opulence Blue,200.36,Harlequin Teal,208.7083333,Assassin Pink,125.225,Burst,56.9204545,8,1809.6134046000002
41,Pendulum #04335,Cozmo Orange,43.1810345,Legion Green,313.0625,Vega Red,417.4166667,Orange,7.0549296,Zodiac Green,278.2777778,Moon Sherpa Green,357.7857143,Gun Chin Teal,294.6470588,Oracle Cream,91.0727273,8,1807.9727259000003
42,Pendulum #01021,Purple,24.1980676,Assassin Glitch,238.5238095,Angel Glitch,143.1142857,White,9.1072727,Lightning Blue,455.3636364,Iron Crown Glitch,278.2777778,Spider Yellow,500.9,Feather Patriot,147.3235294,8,1802.282696
43,Pendulum #02795,Pink,22.8721461,,2.33411,Sacred Ring Orange,185.5185185,Blue,13.2513228,Lightning Purple,556.5555556,Assassin Teal,626.125,Holo Drape Red,263.6315789,Shiny Redrum,122.1707317,7,1797.5390853000001
44,Pendulum #01141,Cozmo Sunset,41.3966942,War Purple,238.5238095,Angel Blue,67.6891892,Pink,10.4790795,Holo Visor Red,263.6315789,Moon Sherpa Glitch,715.5714286,Plugged Green,313.0625,Feather Cream,139.1388889,8,1794.9674857
45,Pendulum #03841,Purple,24.1980676,Monk Pink,313.0625,War Green,200.36,Blue,13.2513228,Recon Orange,455.3636364,Sorceress White,357.7857143,Smoke Green,333.9333333,Oracle Blue,89.4464286,8,1792.8753199
46,Pendulum #01130,Green,17.3321799,Monk Purple,357.7857143,Trinity Yellow,278.2777778,White,9.1072727,Plugged Blue,313.0625,Sorceress Blue,250.45,Spider Blue,263.6315789,Shiny Infrared,294.6470588,8,1789.7683993
47,Pendulum #03822,Cozmo White,37.380597,Sorceress Blue,278.2777778,Angel Green,143.1142857,Pink,10.4790795,Lightning Glitch,147.3235294,Moon Sherpa Yellow,227.6818182,Vape Blue,834.8333333,Oracle Knower,104.3541667,8,1788.9189045
48,Pendulum #02724,Green,17.3321799,Forge Red,313.0625,Muffs Purple,208.7083333,Yellow,14.4768786,Welder Yellow,357.7857143,Wizard Yellow,417.4166667,Pharaoh Yellow,357.7857143,Grunt Sunset,96.3269231,8,1788.3692271000002
49,Pendulum #01680,Teal,35.5248227,Sorceress White,313.0625,Sorceress Gray,217.7826087,Purple,10.0784708,Opulence Orange,208.7083333,Infinity Purple,626.125,Spider Pink,278.2777778,Pink,92.7592593,8,1787.7930895
50,Pendulum #00538,Cozmo Black,28.299435,Prism Purple,238.5238095,Roger Pink,333.9333333,Black,5.0698381,Opulence Red,178.8928571,Opulence Glitch,556.5555556,Vape Glitch,333.9333333,Oracle Knower,104.3541667,8,1785.0366455
51,Pendulum #04537,Green,17.3321799,Assassin Teal,147.3235294,War Red,278.2777778,Yellow,14.4768786,Plugged Glitch,172.7241379,War Green,715.5714286,Spider Pink,278.2777778,Skeleton Bronze,151.7878788,8,1781.2459057
52,Pendulum #01030,Black,28.7873563,Knight Pink,104.3541667,War Blue,200.36,White,9.1072727,Lazer Eye Yellow,278.2777778,War Green,715.5714286,Smoke Blue,294.6470588,Skeleton Black,139.1388889,8,1775.7182667000002
53,Pendulum #02377,Cozmo Aqua,29.6390533,Criminal Green,263.6315789,Angelic Blue,60.3493976,White,9.1072727,Layser Orange,294.6470588,Wizard Purple,834.8333333,Bandit Teal,178.8928571,Highborn Red,86.362069,8,1762.9369376000002
54,Pendulum #03694,Cozmo Sunset,41.3966942,Imperial Purple,500.9,Crescent Blue,156.53125,Pink,10.4790795,T2 Pink,333.9333333,Astronomer Green,208.7083333,Knight Gray,385.3076923,Vent Blue,119.2619048,8,1761.9926043
55,Pendulum #01256,Orange,25.1708543,Criminal Green,263.6315789,Samurai Red,357.7857143,Black,5.0698381,Holodrape Teal,156.53125,Ancient Glitch,385.3076923,Astronomer Purple,455.3636364,Grunt Red,100.18,8,1754.5148812000002
56,Pendulum #00827,Cozmo Green,23.7393365,Legion Red,313.0625,Angel Purple,84.8983051,Teal,18.9734848,Third Eye Blue,385.3076923,War Red,385.3076923,Opulence Red,385.3076923,Shiny Sunset,151.7878788,8,1753.8588989999998
57,Pendulum #00917,Black,28.7873563,Legion Glitch,161.5806452,Angel Purple,84.8983051,Teal,18.9734848,,2.1778261,Opulence Glitch,556.5555556,Vape Blue,834.8333333,Feather Black,58.9294118,7,1751.8160399000003
58,Pendulum #03058,Gradient Forrest,37.1037037,Prism Blue,357.7857143,Roger Teal,263.6315789,Blue,13.2513228,Lazer Eye Pink,278.2777778,Spider Yellow,455.3636364,Gun Chin Red,294.6470588,Burst Glitch,37.1037037,8,1742.6388133
59,Pendulum #02473,Cozmo Purple,42.4491525,Astronomer Pink,208.7083333,Valkyrie Gold,238.5238095,Black,5.0698381,Awaken Green,104.3541667,Wizard Purple,834.8333333,Aether Purple,200.36,Grunt Sun,102.2244898,8,1741.9974401000002
60,Pendulum #04363,Orange,25.1708543,Recon Purple,417.4166667,Sacred Ring Orange,185.5185185,Yellow,14.4768786,War Red,263.6315789,Harlequin Yellow,278.2777778,Plugged Orange,385.3076923,Feather Seer,156.53125,8,1731.8055339999999
61,Pendulum #03512,Aqua,10.772043,Spider Green,313.0625,Roger Green,172.7241379,Black,5.0698381,Lightning Blue,455.3636364,Assassin Teal,626.125,Aqua Mask Blue,94.509434,Black,44.3274336,8,1727.4283399
62,Pendulum #01107,Blue,23.5164319,Prism Green,294.6470588,Roger Yellow,238.5238095,White,9.1072727,,2.1778261,War Green,715.5714286,Vape Purple,294.6470588,Feather Cream,139.1388889,7,1722.409897
63,Pendulum #02437,Gradient Sunset,32.9539474,Legion Yellow,357.7857143,Assassin Green,104.3541667,Black,5.0698381,Lazer Eye Red,147.3235294,Sorceress Pink,556.5555556,Holo Drape Glitch,217.7826087,Skeleton Cream,294.6470588,8,1721.9467359000002
64,Pendulum #03513,Cozmo Red,43.9385965,Phoenix Blue,250.45,Trinity Purple,556.5555556,Pink,10.4790795,War Blue,417.4166667,Recon Brown,333.9333333,,2.1921225,Feather White,100.18,7,1720.2254758000004
65,Pendulum #01503,Gradient Forrest,37.1037037,Imperial Blue,357.7857143,Muffs Blue,147.3235294,Blue,13.2513228,Holodrape Bronze,238.5238095,Astronomer Glitch,500.9,Bandit Glitch,250.45,Grunt Green,166.9666667,8,1717.7790633
66,Pendulum #01233,Black,28.7873563,Sorceress White,313.0625,Angel Glitch,143.1142857,Black,5.0698381,Plugged Pink,385.3076923,Spider Glitch,417.4166667,Gun Chin Purple,263.6315789,Skeleton Bronze,151.7878788,8,1713.6521137000002
67,Pendulum #03354,Aqua,10.772043,War Blue,333.9333333,War Red,278.2777778,Green,9.7641326,Third Eye Blue,385.3076923,Moon Sherpa Purple,313.0625,Plugged Green,313.0625,Burst,56.9204545,8,1706.5747504
68,Pendulum #04249,Red,17.0955631,Phoenix Green,834.8333333,Trinity Yellow,278.2777778,Teal,18.9734848,Holo Visor Glitch,77.0615385,Prism Purple,333.9333333,Aqua Mask Blue,94.509434,Skeleton Glitch,46.3796296,8,1706.5384113000005
69,Pendulum #02147,Green,17.3321799,Samurai Purple,250.45,Muffs Pink,294.6470588,White,9.1072727,Welder Pink,357.7857143,Bandit Yellow,294.6470588,Mithrandir Green,357.7857143,Grunt White,116.4883721,8,1703.7176878000002
70,Pendulum #02532,Green,17.3321799,Knight Green,200.36,Trinity Blue,122.1707317,Black,5.0698381,Plugged Pink,385.3076923,Sorceress White,357.7857143,Spider Yellow,500.9,Oracle Knower,104.3541667,8,1698.7546399
71,Pendulum #00031,Cozmo Forrest,30.5426829,Spider Yellow,556.5555556,Sacred Ring Glitch,172.7241379,Orange,7.0549296,War Red,263.6315789,War Pink,455.3636364,,2.1921225,Oracle Seer,200.36,7,1693.5047655000005
72,Pendulum #00484,Cozmo Teal,32.1089744,Knight Green,200.36,War Blue,200.36,Yellow,14.4768786,Lightning Pink,333.9333333,Opulence Glitch,556.5555556,Bubble Pink,178.8928571,Oracle White,166.9666667,8,1689.1285826
73,Pendulum #01928,Green,17.3321799,Prism Green,294.6470588,Assassin Orange,111.3111111,Orange,7.0549296,Neon Visor Blue,333.9333333,Plugged Pink,294.6470588,Gun Chin Glitch,500.9,Shiny Redrum,122.1707317,8,1687.4707200999999
74,Pendulum #04309,Aqua,10.772043,Samurai Purple,250.45,Crescent Purple,143.1142857,Orange,7.0549296,Tactical Blue,227.6818182,Holodrape Yellow,357.7857143,Seal Breaker Yellow,556.5555556,Shiny Green,128.4358974,8,1687.3245607
75,Pendulum #03664,Cozmo Teal,32.1089744,Holodrape Bronze,294.6470588,Muffs Blue,147.3235294,Green,9.7641326,Tactical Glitch,227.6818182,Samurai Gray,294.6470588,Fu Green,500.9,Shiny Purple,172.7241379,8,1685.2710270000002
76,Pendulum #04150,Pink,22.8721461,Opulence Orange,192.6538462,War Green,200.36,Purple,10.0784708,Lightning Yellow,278.2777778,Iron Crown Pink,385.3076923,Gun Chin Red,294.6470588,Skeleton Cream,294.6470588,8,1684.3183677
77,Pendulum #01433,Cozmo Yellow,28.6228571,Imperial Teal,278.2777778,Angelic Blue,60.3493976,Black,5.0698381,Awaken Red,161.5806452,Wizard Purple,834.8333333,Aether Green,208.7083333,Highborn Sun,100.18,8,1683.0964993000002
78,Pendulum #01236,Cozmo Green,23.7393365,Monk Green,500.9,Angel Pink,147.3235294,Black,5.0698381,Lightning Glitch,147.3235294,Plugged Orange,455.3636364,Holo Drape Purple,250.45,Feather Patriot,147.3235294,8,1682.9677161000002
79,Pendulum #00250,Cozmo Black,28.299435,Phoenix Green,834.8333333,Vega Green,263.6315789,Pink,10.4790795,Recon Orange,455.3636364,,2.4699211,,2.1921225,Brown,80.7903226,6,1682.7938338
80,Pendulum #04415,Aqua,10.772043,War Blue,333.9333333,Sacred Ring Purple,178.8928571,Black,5.0698381,Lightning Yellow,278.2777778,Harlequin Blue,556.5555556,Bubble Glitch,250.45,Feather Black,58.9294118,8,1678.3551336000003
81,Pendulum #01965,Cozmo Pink,42.4491525,Opulence Pink,278.2777778,Vega Purple,217.7826087,Green,9.7641326,Lightning Pink,333.9333333,Sorceress White,357.7857143,Recon Purple,278.2777778,Oracle Brown,151.7878788,8,1675.5326927
82,Pendulum #04198,Pink,22.8721461,Imperial Purple,500.9,Aquatic Blue,125.225,Black,5.0698381,Welder Yellow,357.7857143,Wizard Green,238.5238095,Seal Breaker Green,333.9333333,Highborn Purple,79.5079365,8,1669.2920947
83,Pendulum #04171,Purple,24.1980676,Sorceress Gray,556.5555556,Sacred Ring Green,131.8157895,Pink,10.4790795,Lazer Eye Red,147.3235294,War Purple,294.6470588,Plugged Green,313.0625,Shiny Polarized,185.5185185,8,1669.0744158
84,Pendulum #00210,Cozmo Pink,42.4491525,Sorceress Pink,385.3076923,War Blue,200.36,Black,5.0698381,Holo Visor Purple,250.45,Iron Crown Blue,417.4166667,Assassin Orange,208.7083333,Skeleton Bronze,151.7878788,8,1667.0238786
85,Pendulum #01291,Cozmo Black,28.299435,Recon Blue,217.7826087,War Red,278.2777778,Blue,13.2513228,Lazer Eye Blue,263.6315789,War Red,385.3076923,Recon Brown,333.9333333,Skeleton Black,139.1388889,8,1665.0969546
86,Pendulum #02270,Red,17.0955631,Plugged Blue,151.7878788,Trinity Yellow,278.2777778,White,9.1072727,Zodiac Red,217.7826087,Spider Green,556.5555556,Recon Yellow,333.9333333,Pink,92.7592593,8,1662.7735662
87,Pendulum #04906,White,41.057377,,2.33411,Valkyrie Black,263.6315789,Orange,7.0549296,T2 Green,172.7241379,Wizard Purple,834.8333333,Samurai Gray,294.6470588,Blue,40.3951613,7,1661.7578085
88,Pendulum #01676,Yellow,29.2923977,Knight Purple,178.8928571,Trinity Green,119.2619048,Black,5.0698381,Third Eye Blue,385.3076923,Iron Crown Blue,417.4166667,Holo Drape Yellow,417.4166667,Skeleton Death,102.2244898,8,1660.3568300999998
89,Pendulum #00434,Cozmo Black,28.299435,Opulence Green,263.6315789,Roger Pink,333.9333333,Pink,10.4790795,Plugged Pink,385.3076923,Mirror Glitch,166.9666667,Plugged Orange,385.3076923,Oracle Pink,80.7903226,8,1660.1901175000003
90,Pendulum #04039,White,41.057377,Phoenix Pink,200.36,Sacred Ring Orange,185.5185185,Orange,7.0549296,Third Eye Blue,385.3076923,Spider Yellow,455.3636364,Recon Brown,333.9333333,Black,44.3274336,8,1658.3972376
91,Pendulum #03919,Black,28.7873563,Monk Pink,313.0625,Roger Pink,333.9333333,Black,5.0698381,Holo Visor Red,263.6315789,Infinity Yellow,313.0625,Gun Chin Yellow,227.6818182,Feather Knower,166.9666667,8,1657.6699084
92,Pendulum #03386,Cozmo Pearl,41.7416667,Knight Purple,178.8928571,Trinity Purple,556.5555556,Black,5.0698381,Plugged Blue,313.0625,Plugged Green,227.6818182,Gun Chin Green,200.36,Skeleton Purple,122.1707317,8,1651.0092843
93,Pendulum #04386,Cozmo Forrest,30.5426829,Knight Brown,156.53125,Trinity Red,185.5185185,Teal,18.9734848,Recon Brown,417.4166667,War Pink,455.3636364,Opulence Blue,227.6818182,Shiny Sunset,151.7878788,8,1649.2902532
94,Pendulum #01288,Cozmo Forrest,30.5426829,Opulence Orange,192.6538462,Angel Green,143.1142857,Pink,10.4790795,Zodiac Orange,294.6470588,Assassin Green,626.125,Spider Green,263.6315789,Oracle Glitch,80.7903226,8,1647.4581715000002
95,Pendulum #01727,Gradient Pearl,31.30625,Tesla Glitch,227.6818182,Valkyrie Blue,200.36,White,9.1072727,Welder Blue,250.45,Bandit Yellow,294.6470588,Mithrandir Glitch,455.3636364,Shiny Purple,172.7241379,8,1647.1144909
96,Pendulum #01620,Orange,25.1708543,Spider Pink,238.5238095,Assassin Pink,100.18,Green,9.7641326,War Red,263.6315789,Prism Pink,500.9,Vape Pink,208.7083333,Skeleton Cream,294.6470588,8,1647.0000843000003
97,Pendulum #00596,Cozmo White,37.380597,Imperial Blue,357.7857143,Mist Red,172.7241379,White,9.1072727,Astronomer Pink,185.5185185,Bandit Red,333.9333333,Seal Breaker Red,417.4166667,Vent White,125.225,8,1644.5655573
98,Pendulum #02075,Black,28.7873563,Tesla Glitch,227.6818182,Aquatic Glitch,238.5238095,White,9.1072727,Samurai Purple,227.6818182,Baller Yellow,357.7857143,Seal Breaker Purple,500.9,Purple,48.1634615,8,1644.1055676
99,Pendulum #01426,Teal,35.5248227,Knight Brown,156.53125,Sorceress Gray,217.7826087,Pink,10.4790795,Holo Visor Red,263.6315789,Spider Green,556.5555556,Smoke Green,333.9333333,Feather Black,58.9294118,8,1638.8419574000002
100,Pendulum #01829,Gradient Pearl,31.30625,Phoenix Blue,250.45,Roger Teal,263.6315789,Green,9.7641326,Lightning Purple,556.5555556,Mirror Yellow,208.7083333,Spider Blue,263.6315789,Black,44.3274336,8,1633.8491798000002
101,Pendulum #02292,Red,17.0955631,,2.33411,Angel Glitch,143.1142857,Teal,18.9734848,Lightning Yellow,278.2777778,Assassin Green,626.125,Opulence Red,385.3076923,Shiny Falcon,156.53125,7,1632.8392854
102,Pendulum #01520,Orange,25.1708543,Plugged Blue,151.7878788,Angel Pink,147.3235294,Pink,10.4790795,Plugged Green,385.3076923,War Glitch,556.5555556,Gun Chin Yellow,227.6818182,Shiny Redrum,122.1707317,8,1631.9514567
103,Pendulum #00702,Cozmo Forrest,30.5426829,Spider Red,217.7826087,Trinity Yellow,278.2777778,Yellow,14.4768786,War Blue,417.4166667,Mirror Glitch,166.9666667,Holo Drape Yellow,417.4166667,Brown,80.7903226,8,1629.1445876
104,Pendulum #03506,Gradient Sunset,32.9539474,Hero Pink,333.9333333,Angelic Yellow,122.1707317,Pink,10.4790795,Samurai Blue,417.4166667,Samurai Gray,294.6470588,Mithrandir Blue,333.9333333,Sun,77.0615385,8,1628.0700061000002
105,Pendulum #03016,Aqua,10.772043,Spider Blue,385.3076923,Sorceress Yellow,166.9666667,Pink,10.4790795,War Purple,238.5238095,Iron Crown Green,357.7857143,Bubble Blue,357.7857143,Seer,94.509434,8,1627.6044705000002
106,Pendulum #04640,Cozmo Teal,32.1089744,Sorceress Pink,385.3076923,Roger Teal,263.6315789,Green,9.7641326,Holo Visor Red,263.6315789,Recon Glitch,278.2777778,Aqua Mask Green,294.6470588,Seer,94.509434,8,1627.3525446
107,Pendulum #02531,White,41.057377,Recon Brown,208.7083333,Sorceress Gray,217.7826087,Yellow,14.4768786,Holo Visor Pink,217.7826087,Prism Purple,333.9333333,Spider Yellow,500.9,Feather Glitch,86.362069,8,1626.4775255
108,Pendulum #01744,Gradient Pearl,31.30625,Spider Yellow,556.5555556,Trinity Glitch,128.4358974,Blue,13.2513228,Holo Visor Blue,131.8157895,Harlequin Yellow,278.2777778,Spider Pink,278.2777778,Oracle Seer,200.36,8,1623.7546878
109,Pendulum #03406,Cozmo Orange,43.1810345,Sorceress White,313.0625,Trinity Red,185.5185185,Purple,10.0784708,Lazer Eye Pink,278.2777778,Iron Crown Pink,385.3076923,Spider Blue,263.6315789,Feather Cream,139.1388889,8,1623.6707786
110,Pendulum #03546,Green,17.3321799,Knight Blue,122.1707317,Roger Teal,263.6315789,Green,9.7641326,Lightning Pink,333.9333333,War Glitch,556.5555556,Gun Chin Yellow,227.6818182,Feather Glitch,86.362069,8,1622.9057161000003
111,Pendulum #01791,Teal,35.5248227,Assassin Pink,147.3235294,Vega Glitch,178.8928571,Orange,7.0549296,War Pink,208.7083333,Prism Blue,626.125,Spider Green,263.6315789,Skeleton Teal,143.1142857,8,1615.8496536
112,Pendulum #04205,Green,17.3321799,Monk Purple,357.7857143,Angel Blue,67.6891892,Teal,18.9734848,Lazer Eye Pink,278.2777778,Plugged Pink,294.6470588,Holo Drape Yellow,417.4166667,Feather Seer,156.53125,8,1614.1276384
113,Pendulum #01704,Purple,24.1980676,Monk Blue,417.4166667,Trinity Blue,122.1707317,Orange,7.0549296,Opulence Orange,208.7083333,Harlequin Pink,455.3636364,Holo Drape Glitch,217.7826087,Shiny Sunset,151.7878788,8,1609.9571697000003
