Rarity Score,id,Back,Back Score,Face,Face Score,Head,Head Score,Outfit,Outfit Score,Character,Character Score,Background,Background Score,name,Trait Count,Trait Count Score
949.053769,4052,FI Flag,33.5714286,Reverse Cross  Earring,731.1111111,Party Hat,46.6666667,Batik with Scarf,39.1666667,Iris  Ghost,81.2345679,Pink Flames,15.6294537,FalseIdols #0495,6,1.6738743
942.0248686,6289,NONE,6.5668663,Reverse Cross  Earring,731.1111111,Mohawk,41.125,Skeleton,39.6385542,Ignis Blue,104.4444444,Dark Blue Flames,16.127451,FalseIdols #0323,5,3.0114416
911.5722333,3209,FI Flag,33.5714286,Reverse Cross  Earring,731.1111111,Propeller,38.7058824,Chef Uniform,41.125,Iris,48.3823529,Spirals,17.002584,FalseIdols #5721,6,1.6738743
905.9631902,1331,Toy Hammer,34.4502618,Gold Teeth,731.1111111,Halo,38.0346821,Blue Jacket,45.6944444,Bapho,38.255814,Red Flames,16.7430025,FalseIdols #1888,6,1.6738743
905.3628897,5987,Binocular,35.1871658,Cigar,43.2894737,Bapho Crown,731.1111111,Suit,39.6385542,Bapho,38.255814,Pink,16.2068966,FalseIdols #1970,6,1.6738743
896.6424701,1887,Surfboard,28.8596491,Futuristic Glasses,39.8787879,Bapho Crown,731.1111111,Orange TShirt,39.1666667,Bapho Tattooed,39.1666667,Space,16.7857143,FalseIdols #4137,6,1.6738743
895.9820691,6183,Skateboard,26.9672131,Gold Teeth,731.1111111,Dealers Hat,43.5761589,Hockey Black,35.3763441,Bapho Demon,41.3836478,Blue Flames,15.8937198,FalseIdols #2561,6,1.6738743
895.8533617,1705,Skateboard,26.9672131,Gold Teeth,731.1111111,Hockey Helmet,44.1610738,Red One Piece,34.8148148,Bapho Demon,41.3836478,Prison Photo booth,15.7416268,FalseIdols #4401,6,1.6738743
895.015798,1606,Hockey Stick,31.3333333,Earring,38.0346821,Bapho Crown,731.1111111,Orange Astronaut,38.4795322,Bapho,38.255814,Dark Blue Flames,16.127451,FalseIdols #1965,6,1.6738743
893.6182714,1691,Skateboard,26.9672131,Gold Teeth,731.1111111,Soda Cap,41.125,Yellow Good Morning,38.7058824,Bapho,38.255814,Green,15.7793765,FalseIdols #0184,6,1.6738743
880.7153824,1042,NONE,6.5668663,Milk Bottle,46.3380282,Bapho Crown,731.1111111,Black Turtleneck,36.9662921,Bapho Demon,41.3836478,Graveyard,15.3379953,FalseIdols #4907,5,3.0114416
880.2817452,595,NONE,6.5668663,Reverse Cross  Earring,731.1111111,Pajama Cap,33.7435897,Reaper,41.910828,Iris,48.3823529,Blue Clouds,15.5555556,FalseIdols #1182,5,3.0114416
878.2871675,113,NONE,6.5668663,Reverse Cross  Earring,731.1111111,Pan,39.6385542,Jail,32.5742574,Iris,48.3823529,Spirals,17.002584,FalseIdols #1768,5,3.0114416
871.7751031,2604,NONE,6.5668663,Gold Teeth,731.1111111,Farmers Hat,36.9662921,Pink Jacket,40.1219512,Bapho,38.255814,Prison Photo booth,15.7416268,FalseIdols #5432,5,3.0114416
869.5884844,207,NONE,6.5668663,Reverse Cross  Earring,731.1111111,None,6.3391137,Pirate Suit,45.6944444,Iris,48.3823529,Dark Blue Clouds,16.3681592,FalseIdols #3012,4,15.1264368
863.1474074,3739,Coffin,31.3333333,Gold Teeth,731.1111111,None,6.3391137,Green Good Morning,36.3535912,Bapho,38.255814,Red Flames,16.7430025,FalseIdols #1697,5,3.0114416
862.7455057,6252,Sword,29.1150442,None,6.2966507,Bapho Crown,731.1111111,Pink Robot,37.3863636,Bapho Tattooed,39.1666667,Purple Clouds,16.6582278,FalseIdols #2565,5,3.0114416
858.4371607,4917,Umbrella Black,28.1196581,Burning Money,50.6153846,Ninja Head band,548.3333333,White Astronaut,39.8787879,Ignis Ghost,173.1578947,Purple Clouds,16.6582278,FalseIdols #2576,6,1.6738743
856.9315042,5602,Trident,32.4137931,VR Headset,39.8787879,Ninja Head band,548.3333333,Pirate Suit,45.6944444,Ignis Ghost,173.1578947,Green,15.7793765,FalseIdols #4691,6,1.6738743
850.8322,2337,NONE,6.5668663,Gold Teeth,731.1111111,None,6.3391137,Robe,36.1538462,Bapho Tattooed,39.1666667,Dark Blue Clouds,16.3681592,FalseIdols #5340,4,15.1264368
850.0528382,4118,NONE,6.5668663,Gold Teeth,731.1111111,None,6.3391137,Black Gown,36.7597765,Bapho,38.255814,Blue Flames,15.8937198,FalseIdols #3346,4,15.1264368
849.7283249,5879,NONE,6.5668663,None,6.2966507,Bapho Crown,731.1111111,Blue Kimono,37.1751412,Bapho,38.255814,Rainbow,15.1963048,FalseIdols #1034,4,15.1264368
825.6567476,337,Surfboard,28.8596491,Monocle,63.8834951,SnapBackGreen,658,Blue One Piece,33.7435897,Arcadian,23.7545126,Prison Photo booth,15.7416268,FalseIdols #3200,6,1.6738743
818.0610346,1711,Carrot Stick,33.0653266,Bandage,43.8666667,SnapBackGreen,658,Flame Hoodie,40.3680982,Haka,25.3076923,Green,15.7793765,FalseIdols #0337,6,1.6738743
814.9228506,1063,Carrot Stick,33.0653266,Pacifier,45.0684932,SnapBackGreen,658,Jail,32.5742574,Arcadian Racing,28.6086957,Purple Gradient,15.9322034,FalseIdols #4725,6,1.6738743
810.4593834,2649,Turtle Shell Brown,31.4832536,Rose,41.910828,SnapBackGreen,658,Chinese Dress,35.9562842,Haka,25.3076923,Dark Blue Flames,16.127451,FalseIdols #5488,6,1.6738743
809.696834,3537,Sand Shovel,29.375,Black Glasses,38.7058824,SnapBackGreen,658,Skeleton,39.6385542,Haka Volcanic,26.7479675,Blue Clouds,15.5555556,FalseIdols #5461,6,1.6738743
809.6292136,419,Hockey Stick,31.3333333,Bandage,43.8666667,SnapBackGreen,658,Blue One Piece,33.7435897,Haka,25.3076923,Skatepark Park,15.7040573,FalseIdols #2683,6,1.6738743
809.2258422,4662,Turtle Shell Green,28.8596491,Earring,38.0346821,SnapBackGreen,658,White Turtleneck,39.1666667,Haka Volcanic,26.7479675,Red Flames,16.7430025,FalseIdols #3029,6,1.6738743
779.7924865,4817,Trident,32.4137931,Airpod,38.7058824,Ninja Head band,548.3333333,Orange Astronaut,38.4795322,Ignis Blue,104.4444444,Prison Photo booth,15.7416268,FalseIdols #1914,6,1.6738743
779.6833934,649,NONE,6.5668663,Game Controller,38.4795322,SnapBackGreen,658,Blue One Piece,33.7435897,Arcadian,23.7545126,Dark Blue Flames,16.127451,FalseIdols #4038,5,3.0114416
774.8758404,1278,Phone,28.4848485,None,6.2966507,SnapBackGreen,658,Silver Armor,36.5555556,Haka Volcanic,26.7479675,Green,15.7793765,FalseIdols #6417,5,3.0114416
773.3222353,2101,Hockey Stick,31.3333333,Laserbeams,56.7241379,Ninja Head band,548.3333333,Green Stars,37.816092,Iris  Ghost,81.2345679,Pink,16.2068966,FalseIdols #0053,6,1.6738743
771.6101654,1106,Hockey Stick,31.3333333,Tears,46.3380282,Ninja Head band,548.3333333,Blue Jacket,45.6944444,Iris  Ghost,81.2345679,Spirals,17.002584,FalseIdols #1806,6,1.6738743
769.1417029,2092,NONE,6.5668663,None,6.2966507,SnapBackGreen,658,Cowboy,39.4011976,Haka Volcanic,26.7479675,Spirals,17.002584,FalseIdols #2608,4,15.1264368
760.9741012,6313,Binocular,35.1871658,Snake,43.2894737,Bird's Nest,598.1818182,Flame Hoodie,40.3680982,Vern,25.9055118,Dark Blue Clouds,16.3681592,FalseIdols #1611,6,1.6738743
760.4462817,2324,Turtle Shell Green,28.8596491,Blue Scuba Mask,47.6811594,Bird's Nest,598.1818182,Purple Gown,41.3836478,Vern Birch,26.0079051,Purple Clouds,16.6582278,FalseIdols #1284,6,1.6738743
759.610021,478,Umbrella Rainbow,32.9,Rainbow Glasses,44.7619048,Bird's Nest,598.1818182,Cowboy,39.4011976,Vern,25.9055118,Space,16.7857143,FalseIdols #3637,6,1.6738743
758.8794799,3587,Angel Wings,30.462963,Snake,43.2894737,Ninja Head band,548.3333333,Overalls,38.255814,Iris  Ghost,81.2345679,Pink Flames,15.6294537,FalseIdols #0687,6,1.6738743
758.4391325,6200,Sword,29.1150442,Heart Eyes,51.8110236,Bird's Nest,598.1818182,Silver Armor,36.5555556,Vern,25.9055118,Rainbow,15.1963048,FalseIdols #0050,6,1.6738743
757.4378121,549,Present,28.9867841,Tears,46.3380282,Bird's Nest,598.1818182,Pink Jacket,40.1219512,Vern Birch,26.0079051,Dark Blue Flames,16.127451,FalseIdols #2964,6,1.6738743
751.0555851,5112,Third Arm,33.2323232,Eye Patch,38.7058824,Bird's Nest,598.1818182,Green Good Morning,36.3535912,Vern,25.9055118,Spirals,17.002584,FalseIdols #1918,6,1.6738743
750.8514368,3572,Turtle Shell Green,28.8596491,VR Headset,39.8787879,Bird's Nest,598.1818182,Pink Jacket,40.1219512,Vern Birch,26.0079051,Dark Blue Flames,16.127451,FalseIdols #1282,6,1.6738743
747.6050476,4575,Turtle Shell Green,28.8596491,Bubble Gum,38.4795322,Bird's Nest,598.1818182,Orange TShirt,39.1666667,Vern,25.9055118,Graveyard,15.3379953,FalseIdols #2882,6,1.6738743
737.9447398,460,NONE,6.5668663,Blue Scuba Mask,47.6811594,Bird's Nest,598.1818182,Flame Hoodie,40.3680982,Vern Birch,26.0079051,Dark Blue Flames,16.127451,FalseIdols #3354,5,3.0114416
731.674745,4164,Knife,33.0653266,Painters Mask,48.3823529,Ninja Head band,548.3333333,Purple  Robot,33.7435897,Iris Blue,49.4736842,Spirals,17.002584,FalseIdols #0788,6,1.6738743
730.5752404,3101,Surfboard,28.8596491,Rainbow Teeth,548.3333333,Mariachi Hat,57.2173913,Blue Kimono,37.1751412,Bapho Demon,41.3836478,Purple Gradient,15.9322034,FalseIdols #4579,6,1.6738743
727.6275454,2493,NONE,6.5668663,Button Eyes,38.255814,Bird's Nest,598.1818182,Flame Hoodie,40.3680982,Vern,25.9055118,Graveyard,15.3379953,FalseIdols #5415,5,3.0114416
726.1592721,1820,IV Bags,411.25,Carrot Nose,199.3939394,Ribbon,34.6315789,Yellow Good Morning,38.7058824,Melton,25.3076923,Rainbow,15.1963048,FalseIdols #5652,6,1.6738743
723.8417334,2168,Toy Hammer,34.4502618,VR Headset,39.8787879,Ninja Head band,548.3333333,Gold Armor,35.5675676,Iris,48.3823529,Blue Clouds,15.5555556,FalseIdols #5926,6,1.6738743
722.8083821,2931,Turtle Shell Green,28.8596491,Milk Bottle,46.3380282,Ninja Head band,548.3333333,Jail,32.5742574,Iris Blue,49.4736842,Blue Clouds,15.5555556,FalseIdols #4434,6,1.6738743
722.619853,3355,Trident,32.4137931,Rainbow Teeth,548.3333333,Soda Cap,41.125,Reaper,41.910828,Bapho Demon,41.3836478,Green,15.7793765,FalseIdols #1765,6,1.6738743
721.7709132,1504,IV Bags,411.25,Carrot Nose,199.3939394,Pajama Cap,33.7435897,Purple  Robot,33.7435897,Melton,25.3076923,Purple Clouds,16.6582278,FalseIdols #3172,6,1.6738743
721.5733664,368,Umbrella Rainbow,32.9,Black Glasses,38.7058824,Ninja Head band,548.3333333,Blue One Piece,33.7435897,Iris Blue,49.4736842,Red Flames,16.7430025,FalseIdols #2158,6,1.6738743
720.7724885,2576,Devil Wings,29.2444444,Black Glasses,38.7058824,Ninja Head band,548.3333333,Silver Armor,36.5555556,Iris Blue,49.4736842,Space,16.7857143,FalseIdols #2917,6,1.6738743
718.854645,4151,Turtle Shell Green,28.8596491,Game Controller,38.4795322,Ninja Head band,548.3333333,Hockey Black,35.3763441,Iris Blue,49.4736842,Purple Clouds,16.6582278,FalseIdols #2990,6,1.6738743
716.4266666,5819,Coffin,31.3333333,None,6.2966507,Bird's Nest,598.1818182,Chinese Dress,35.9562842,Vern,25.9055118,Prison Photo booth,15.7416268,FalseIdols #3793,5,3.0114416
715.6401244,5877,Turtle Shell Brown,31.4832536,Rainbow Teeth,548.3333333,Crown,39.8787879,Black Gown,36.7597765,Bapho Demon,41.3836478,Dark Blue Flames,16.127451,FalseIdols #6539,6,1.6738743
714.5491924,5038,Devil Wings,29.2444444,Rainbow Teeth,548.3333333,Top Hat,43.0065359,Overalls,38.255814,Bapho,38.255814,Green,15.7793765,FalseIdols #4534,6,1.6738743
714.3562123,722,Phone,28.4848485,Rainbow Teeth,548.3333333,Top Hat,43.0065359,Green Stars,37.816092,Bapho,38.255814,Space,16.7857143,FalseIdols #3238,6,1.6738743
708.2966978,626,Coffin,31.3333333,Rainbow Teeth,548.3333333,Confused Stars,39.4011976,Blue One Piece,33.7435897,Bapho,38.255814,Blue Clouds,15.5555556,FalseIdols #4793,6,1.6738743
707.5353424,4294,Umbrella Black,28.1196581,Rainbow Teeth,548.3333333,Purple Beanie,38.255814,Robe,36.1538462,Bapho,38.255814,Red Flames,16.7430025,FalseIdols #3137,6,1.6738743
707.1367947,778,Baseball Bat,28.4848485,Rainbow Teeth,548.3333333,Ice Cream,37.1751412,Silver Armor,36.5555556,Bapho,38.255814,Purple Clouds,16.6582278,FalseIdols #0708,6,1.6738743
706.5752407,5495,Coffin,31.3333333,Rainbow Teeth,548.3333333,Pajama Cap,33.7435897,Chinese Dress,35.9562842,Bapho Tattooed,39.1666667,Dark Blue Clouds,16.3681592,FalseIdols #3666,6,1.6738743
689.6037406,2161,NONE,6.5668663,Rainbow Teeth,548.3333333,Confused Stars,39.4011976,Green Kimono,38.4795322,Bapho,38.255814,Blue Clouds,15.5555556,FalseIdols #3383,5,3.0114416
615.6750823,846,Phone,28.4848485,Oni Mask,67.1428571,SnapBackBlue,438.6666667,Chinese Dress,35.9562842,Haka Volcanic,26.7479675,Spirals,17.002584,FalseIdols #0149,6,1.6738743
612.3247671,2883,Fan,32.7363184,Fire Eyes,60.3669725,SnapBackBlue,438.6666667,Green Good Morning,36.3535912,Haka Volcanic,26.7479675,Green,15.7793765,FalseIdols #0250,6,1.6738743
608.3746571,690,Toy Hammer,34.4502618,Laserbeams,56.7241379,SnapBackBlue,438.6666667,Blue One Piece,33.7435897,Haka Volcanic,26.7479675,Dark Blue Clouds,16.3681592,FalseIdols #0224,6,1.6738743
606.6440873,1600,Devil Wings,29.2444444,Face Bandage,57.2173913,SnapBackBlue,438.6666667,Black Turtleneck,36.9662921,Haka Volcanic,26.7479675,Dark Blue Flames,16.127451,FalseIdols #3521,6,1.6738743
605.5908994,2792,Umbrella Black,28.1196581,Laserbeams,56.7241379,SnapBackBlue,438.6666667,White Turtleneck,39.1666667,Haka,25.3076923,Purple Gradient,15.9322034,FalseIdols #4021,6,1.6738743
603.268712,881,IV Drop,33.5714286,Reverse Cross Earring,45.0684932,SnapBackBlue,438.6666667,Reaper,41.910828,Haka Volcanic,26.7479675,Pink Flames,15.6294537,FalseIdols #2126,6,1.6738743
602.7574569,725,Umbrella Black,28.1196581,Bandage,43.8666667,SnapBackBlue,438.6666667,Pirate Suit,45.6944444,Arcadian Racing,28.6086957,Dark Blue Flames,16.127451,FalseIdols #1253,6,1.6738743
599.0789577,1483,Carrot Stick,33.0653266,Painters Mask,48.3823529,SnapBackBlue,438.6666667,Green Good Morning,36.3535912,Haka,25.3076923,Pink Flames,15.6294537,FalseIdols #3730,6,1.6738743
598.6406709,3795,Toy Hammer,34.4502618,Tears,46.3380282,SnapBackBlue,438.6666667,Gold Armor,35.5675676,Haka Volcanic,26.7479675,Rainbow,15.1963048,FalseIdols #4871,6,1.6738743
592.3451649,1970,Umbrella Rainbow,32.9,Futuristic Glasses,39.8787879,SnapBackBlue,438.6666667,Blue Kimono,37.1751412,Haka,25.3076923,Red Flames,16.7430025,FalseIdols #2741,6,1.6738743
592.3308088,4308,IV Bags,411.25,Yellow Scuba Mask,45.6944444,Ice Cream,37.1751412,Flame Hoodie,40.3680982,Bapho Tattooed,39.1666667,Spirals,17.002584,FalseIdols #3045,6,1.6738743
592.1611134,279,IV Bags,411.25,Airpod,38.7058824,Party Hat,46.6666667,Green Good Morning,36.3535912,Bapho Demon,41.3836478,Dark Blue Flames,16.127451,FalseIdols #4443,6,1.6738743
591.8161965,4423,Toy Hammer,34.4502618,Airpod,38.7058824,SnapBackBlue,438.6666667,Green Good Morning,36.3535912,Haka,25.3076923,Purple Clouds,16.6582278,FalseIdols #5012,6,1.6738743
591.3217554,2011,IV Bags,411.25,Tears,46.3380282,Halo,38.0346821,Cowboy,39.4011976,Bapho,38.255814,Dark Blue Clouds,16.3681592,FalseIdols #5348,6,1.6738743
588.7883302,3760,IV Bags,411.25,Coins,40.3680982,Cowboy Hat,41.3836478,Batik with Scarf,39.1666667,Bapho Tattooed,39.1666667,Green,15.7793765,FalseIdols #4884,6,1.6738743
587.6966968,1444,IV Bags,411.25,Pipe,48.0291971,Pajama Cap,33.7435897,Blue Kimono,37.1751412,Bapho Tattooed,39.1666667,Purple Clouds,16.6582278,FalseIdols #0656,6,1.6738743
585.2713062,285,IV Bags,411.25,Blue Scuba Mask,47.6811594,Doctors Lamp,38.0346821,Pirate Suit,45.6944444,Melton,25.3076923,Pink Flames,15.6294537,FalseIdols #6465,6,1.6738743
584.6996554,1742,IV Bags,411.25,Blue Scuba Mask,47.6811594,Pajama Cap,33.7435897,Green Good Morning,36.3535912,Bapho,38.255814,Prison Photo booth,15.7416268,FalseIdols #6173,6,1.6738743
583.0953934,2638,Angel Wings,30.462963,Airpod,38.7058824,SnapBackBlue,438.6666667,Jail,32.5742574,Haka,25.3076923,Skatepark Park,15.7040573,FalseIdols #1992,6,1.6738743
579.6792529,2016,IV Bags,411.25,Painters Mask,48.3823529,Halo,38.0346821,Cowboy,39.4011976,Melton,25.3076923,Pink Flames,15.6294537,FalseIdols #5684,6,1.6738743
577.6641066,3248,IV Bags,411.25,Eye Patch,38.7058824,Cone,45.0684932,White Astronaut,39.8787879,Melton,25.3076923,Green,15.7793765,FalseIdols #6193,6,1.6738743
567.1447544,2025,IV Bags,411.25,Pizza,35.9562842,Doctors Lamp,38.0346821,Doctor,38.0346821,Melton Slush,26.6396761,Blue Clouds,15.5555556,FalseIdols #3303,6,1.6738743
565.4313309,2573,IV Bags,411.25,Pipe,48.0291971,None,6.3391137,Suit,39.6385542,Bapho Demon,41.3836478,Green,15.7793765,FalseIdols #4485,5,3.0114416
559.8907765,534,Third Arm,33.2323232,None,6.2966507,SnapBackBlue,438.6666667,Gold Armor,35.5675676,Haka Volcanic,26.7479675,Dark Blue Clouds,16.3681592,FalseIdols #1600,5,3.0114416
555.6926052,4513,Present,28.9867841,None,6.2966507,SnapBackBlue,438.6666667,Skeleton,39.6385542,Arcadian,23.7545126,Graveyard,15.3379953,FalseIdols #5307,5,3.0114416
555.556627,2256,Umbrella Rainbow,32.9,Laserbeams,56.7241379,Emperors crown,387.0588235,Chinese Dress,35.9562842,Medusa,25.9055118,Graveyard,15.3379953,FalseIdols #2892,6,1.6738743
554.402144,962,IV Bags,411.25,VR Headset,39.8787879,None,6.3391137,Black Gown,36.7597765,Bapho Demon,41.3836478,Green,15.7793765,FalseIdols #4099,5,3.0114416
