Rank,Weighting,Name,Back,BackRarity,Eyes,EyesRarity,Face,FaceRarity,Head,HeadRarity,Race,RaceRarity,Armor,ArmorRarity,Mouth,MouthRarity,Racial,RacialRarity,Familiar,FamiliarRarity,SkinTone,SkinToneRarity,Background,BackgroundRarity,TraitCount,TraitCountRarity,Asset
0,730.8515012,Tavern Squad Adventurer #06390,None,4.9925112,Normal,2.7624309,None,1.1021713,None,7.6745971,Human,2.8352708,Explorer,11.3895216,Scared,11.0497238,None,12.0918984,None,1.0215548,B,3.0693677,Green,6.1957869,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643036333930
0,728.8809798999999,Tavern Squad Adventurer #00528,None,4.9925112,Drowsy,6.8917988,None,1.1021713,None,7.6745971,Human,2.8352708,Traveller,12.0772947,Normal,3.4940601,None,12.0918984,None,1.0215548,B,3.0693677,Purple,6.9637883,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643030353238
0,727.5086413,Tavern Squad Adventurer #06185,None,4.9925112,Normal,2.7624309,None,1.1021713,None,7.6745971,Human,2.8352708,Villager,11.4547537,Angry,7.6687117,None,12.0918984,None,1.0215548,C,3.0422878,Green,6.1957869,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643036313835
0,659.9255702000002,Tavern Squad Adventurer #05264,Fire Maul,20.746888,Drowsy,6.8917988,Monocle,35.971223,Long Hair,8.1632653,Dwarf,4.0666938,Deity - Evil,526.3157895,Sad,9.569378,Fully Braided,22.9885057,None,1.0215548,C,3.0422878,Purple,6.9637883,10,14.1843972,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643035323634
0,655.5662919000001,Tavern Squad Adventurer #05756,Warpick,14.4092219,Scared,9.3632959,Eyepatch,19.9600798,Short Hair,8.2304527,Orc,8.0064051,Deity - Evil,526.3157895,Racial,5.8173357,Crooked,39.5256917,None,1.0215548,A,2.894356,Gray,5.8377116,10,14.1843972,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643035373536
0,647.9906755000001,Tavern Squad Adventurer #08363,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,None,7.6745971,Human,2.8352708,Deity,161.2903226,Sad,9.569378,None,12.0918984,None,1.0215548,C,3.0422878,Gray,5.8377116,7,24.0963855,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643038333633
0,641.6072678000002,Tavern Squad Adventurer #06207,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,Ponytail,9.7847358,Dwarf,4.0666938,Villager,11.4547537,Scared,11.0497238,Stout,24.8138958,Ferret,135.1351351,A,2.894356,Yellow,7.6923077,10,14.1843972,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643036323037
0,635.4069323,Tavern Squad Adventurer #03685,Shield,12.9032258,Normal,2.7624309,None,1.1021713,Apple,10.7526882,Orc,8.0064051,Deity - Evil,526.3157895,Racial,5.8173357,Jeweled,56.1797753,None,1.0215548,C,3.0422878,Gray,5.8377116,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643033363835
0,632.4023394000002,Tavern Squad Adventurer #02489,Fire Staff,45.6621005,Normal,2.7624309,None,1.1021713,Long Hair,8.1632653,Elf,4.3572985,Deity - Evil,526.3157895,Drowsy,9.3196645,Wounded,22.0264317,None,1.0215548,C,3.0422878,Purple,6.9637883,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643032343839
0,627.0407701,Tavern Squad Adventurer #04293,Dark Wings,416.6666667,Angry,5.7971014,None,1.1021713,None,7.6745971,Human,2.8352708,Traveller,12.0772947,Scared,11.0497238,Goatee,16.0771704,Raven,142.8571429,C,3.0422878,Green,6.1957869,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643034323933
0,625.1897836000002,Tavern Squad Adventurer #08972,Lute,12.5313283,Angry,5.7971014,Eyepatch,19.9600798,Mohawk,8.7642419,Human,2.8352708,Deity - Evil,526.3157895,Sad,9.569378,Ducktail,13.6239782,None,1.0215548,A,2.894356,Yellow,7.6923077,10,14.1843972,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643038393732
0,622.3124262000001,Tavern Squad Adventurer #08481,Pickaxe,12.5786164,Normal,2.7624309,None,1.1021713,Wizard,12.300123,Human,2.8352708,Deity - Evil,526.3157895,Smoking,39.0625,None,12.0918984,None,1.0215548,A,2.894356,Gray,5.8377116,8,3.5100035,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643038343831
0,618.8882138000001,Tavern Squad Adventurer #04329,Lightning Sword,32.3624595,Normal,2.7624309,None,1.1021713,Ponytail,9.7847358,Dwarf,4.0666938,Deity - Evil,526.3157895,Sad,9.569378,Handlebars,21.5053763,None,1.0215548,A,2.894356,Gray,5.8377116,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643034333239
0,605.6566125000002,Tavern Squad Adventurer #05795,Pickaxe,12.5786164,Sad,7.6863951,None,1.1021713,Ponytail,9.7847358,Dwarf,4.0666938,Deity - Evil,526.3157895,Scared,11.0497238,Handlebars,21.5053763,None,1.0215548,C,3.0422878,Gray,5.8377116,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643035373935
0,604.5990825000001,Tavern Squad Adventurer #05537,Warpick,14.4092219,Scared,9.3632959,None,1.1021713,None,7.6745971,Dwarf,4.0666938,Deity - Evil,526.3157895,Sad,9.569378,Braided Mustache,16.4203612,None,1.0215548,C,3.0422878,Orange,8.1037277,8,3.5100035,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643035353337
0,603.5592154000001,Tavern Squad Adventurer #04731,None,4.9925112,Normal,2.7624309,Eyepatch,19.9600798,None,7.6745971,Human,2.8352708,Deity - Evil,526.3157895,Drowsy,9.3196645,Goatee,16.0771704,None,1.0215548,A,2.894356,Green,6.1957869,8,3.5100035,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643034373331
0,599.2990943,Tavern Squad Adventurer #09369,Axe,12.3304562,Angry,5.7971014,None,1.1021713,Ponytail,9.7847358,Dwarf,4.0666938,Deity - Evil,526.3157895,Normal,3.4940601,Stout,24.8138958,None,1.0215548,B,3.0693677,Gray,5.8377116,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643039333639
0,596.4912017000001,Tavern Squad Adventurer #02590,Pickaxe,12.5786164,Normal,2.7624309,None,1.1021713,None,7.6745971,Dwarf,4.0666938,Deity - Evil,526.3157895,Drowsy,9.3196645,Waves,18.2815356,None,1.0215548,A,2.894356,Purple,6.9637883,8,3.5100035,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643032353930
0,594.8509864000001,Tavern Squad Adventurer #03739,Shield,12.9032258,Normal,2.7624309,None,1.1021713,Bandana,8.841733,Human,2.8352708,Deity - Evil,526.3157895,Crazy,13.1926121,Ducktail,13.6239782,None,1.0215548,A,2.894356,Yellow,7.6923077,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643033373339
0,589.9757657000001,Tavern Squad Adventurer #01940,Shield,12.9032258,Normal,2.7624309,None,1.1021713,None,7.6745971,Human,2.8352708,Deity - Evil,526.3157895,Drowsy,9.3196645,Ducktail,13.6239782,None,1.0215548,B,3.0693677,Gray,5.8377116,8,3.5100035,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643031393430
0,587.9864939,Tavern Squad Adventurer #07813,Axe,12.3304562,Drowsy,6.8917988,None,1.1021713,Short Hair,8.2304527,Human,2.8352708,Deity - Evil,526.3157895,Normal,3.4940601,Full Beard,12.9533679,None,1.0215548,C,3.0422878,Orange,8.1037277,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643037383133
0,586.2828049000001,Tavern Squad Adventurer #01981,None,4.9925112,Angry,5.7971014,None,1.1021713,Short Hair,8.2304527,Human,2.8352708,Deity - Evil,526.3157895,Angry,7.6687117,Goatee,16.0771704,None,1.0215548,A,2.894356,Gray,5.8377116,8,3.5100035,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643031393831
0,585.9683110000001,Tavern Squad Adventurer #07797,None,4.9925112,Normal,2.7624309,None,1.1021713,Wizard,12.300123,Human,2.8352708,Deity - Evil,526.3157895,Angry,7.6687117,Ducktail,13.6239782,None,1.0215548,C,3.0422878,Blue,6.7934783,8,3.5100035,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643037373937
0,554.5826025,Tavern Squad Adventurer #06657,Dark Wings,416.6666667,Lightning,52.3560209,None,1.1021713,Short Hair,8.2304527,Orc,8.0064051,Bone,14.47178,Racial,5.8173357,Broken,34.2465753,None,1.0215548,A,2.894356,Orange,8.1037277,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643036363537
0,551.5812033,Tavern Squad Adventurer #03026,Dark Wings,416.6666667,Normal,2.7624309,Monocle,35.971223,Short Hair,8.2304527,Orc,8.0064051,Wizard,13.6239782,Racial,5.8173357,Straight,35.4609929,None,1.0215548,C,3.0422878,Blue,6.7934783,10,14.1843972,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643033303236
0,513.6781324,Tavern Squad Adventurer #01500,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,Ponytail,9.7847358,Dwarf,4.0666938,Molten,38.0228137,Sad,9.569378,Waves,18.2815356,None,1.0215548,C,3.0422878,Yellow,7.6923077,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643031353030
0,512.8435804000001,Tavern Squad Adventurer #08646,Dark Wings,416.6666667,Sad,7.6863951,None,1.1021713,Ponytail,9.7847358,Orc,8.0064051,Royal Guard,16.3666121,Racial,5.8173357,Straight,35.4609929,None,1.0215548,B,3.0693677,Green,6.1957869,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643038363436
0,511.5899018,Tavern Squad Adventurer #08745,Dark Wings,416.6666667,Sad,7.6863951,None,1.1021713,Long Hair,8.1632653,Orc,8.0064051,Chain Mail,11.1731844,Racial,5.8173357,Crooked,39.5256917,None,1.0215548,B,3.0693677,Yellow,7.6923077,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643038373435
0,511.2685336,Tavern Squad Adventurer #03554,Dark Wings,416.6666667,Angry,5.7971014,None,1.1021713,Crown,36.4963504,Elf,4.3572985,Explorer,11.3895216,Normal,3.4940601,Long,18.6915888,None,1.0215548,A,2.894356,Yellow,7.6923077,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643033353534
0,506.8846348,Tavern Squad Adventurer #03235,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,Mohawk,8.7642419,Orc,8.0064051,Rogue,12.8205128,Racial,5.8173357,Crooked,39.5256917,None,1.0215548,A,2.894356,Gray,5.8377116,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643033323335
0,504.20091030000003,Tavern Squad Adventurer #08559,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,Ponytail,9.7847358,Orc,8.0064051,Traveller,12.0772947,Racial,5.8173357,Straight,35.4609929,None,1.0215548,C,3.0422878,Blue,6.7934783,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643038353539
0,499.78219010000004,Tavern Squad Adventurer #04668,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,Short Hair,8.2304527,Dwarf,4.0666938,Druid,24.3309002,Angry,7.6687117,Handlebars,21.5053763,None,1.0215548,B,3.0693677,Yellow,7.6923077,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643034363638
0,495.72469770000004,Tavern Squad Adventurer #05122,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,Apple,10.7526882,Elf,4.3572985,Rogue,12.8205128,Sad,9.569378,Curved,24.2718447,None,1.0215548,C,3.0422878,Yellow,7.6923077,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643035313232
0,493.6243573,Tavern Squad Adventurer #02095,Dark Wings,416.6666667,Angry,5.7971014,None,1.1021713,Bandana,8.841733,Dwarf,4.0666938,Chain Mail,11.1731844,Scared,11.0497238,Handlebars,21.5053763,None,1.0215548,C,3.0422878,Yellow,7.6923077,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643032303935
0,492.48516950000004,Tavern Squad Adventurer #07122,Dark Wings,416.6666667,Scared,9.3632959,None,1.1021713,Ponytail,9.7847358,Dwarf,4.0666938,Knight,13.7741047,Angry,7.6687117,Waves,18.2815356,None,1.0215548,A,2.894356,Green,6.1957869,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643037313232
0,489.10472450000003,Tavern Squad Adventurer #06248,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,Apple,10.7526882,Elf,4.3572985,Knight,13.7741047,Sad,9.569378,Earring,18.5528757,None,1.0215548,C,3.0422878,Gray,5.8377116,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643036323438
0,488.8454336,Tavern Squad Adventurer #01634,Ice Staff,51.2820513,Lightning,52.3560209,None,1.1021713,Apple,10.7526882,Elf,4.3572985,Knight,13.7741047,Normal,3.4940601,Earring,18.5528757,Rat,149.2537313,B,3.0693677,Tavern,166.6666667,10,14.1843972,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643031363334
0,487.4435152000001,Tavern Squad Adventurer #04792,Dark Wings,416.6666667,Sad,7.6863951,None,1.1021713,Flame,16.6112957,Human,2.8352708,Rogue,12.8205128,Normal,3.4940601,Full Beard,12.9533679,None,1.0215548,A,2.894356,Yellow,7.6923077,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643034373932
0,485.0402113,Tavern Squad Adventurer #02926,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,Bandana,8.841733,Elf,4.3572985,Villager,11.4547537,Sad,9.569378,Long,18.6915888,None,1.0215548,B,3.0693677,Gray,5.8377116,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643032393236
0,484.4292719000001,Tavern Squad Adventurer #01473,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,None,7.6745971,Dwarf,4.0666938,Villager,11.4547537,Normal,3.4940601,Fully Braided,22.9885057,None,1.0215548,A,2.894356,Blue,6.7934783,8,3.5100035,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643031343733
0,481.7481835,Tavern Squad Adventurer #05038,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,Mohawk,8.7642419,Human,2.8352708,Bone,14.47178,Sad,9.569378,Ducktail,13.6239782,None,1.0215548,B,3.0693677,Green,6.1957869,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643035303338
0,481.4772633,Tavern Squad Adventurer #08114,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,Mohawk,8.7642419,Human,2.8352708,Rogue,12.8205128,Scared,11.0497238,Full Beard,12.9533679,None,1.0215548,C,3.0422878,Blue,6.7934783,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643038313134
0,481.12799340000004,Tavern Squad Adventurer #09510,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,Long Hair,8.1632653,Human,2.8352708,Chain Mail,11.1731844,Angry,7.6687117,Imperial,17.4825175,None,1.0215548,A,2.894356,Yellow,7.6923077,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643039353130
0,476.7993617,Tavern Squad Adventurer #00881,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,Apple,10.7526882,Human,2.8352708,Explorer,11.3895216,Normal,3.4940601,None,12.0918984,None,1.0215548,B,3.0693677,Orange,8.1037277,8,3.5100035,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643030383831
0,461.70882539999997,Tavern Squad Adventurer #02090,Wings,204.0816327,Normal,2.7624309,Monocle,35.971223,Apple,10.7526882,Human,2.8352708,Deity,161.2903226,Normal,3.4940601,Goatee,16.0771704,None,1.0215548,C,3.0422878,Green,6.1957869,10,14.1843972,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643032303930
